image_filename,contour_index,area,perimeter,centroid_x,centroid_y,cluster
6,0,10.0,14.0,2167,1670,2
6,1,24.5,19.41421353816986,2197,1659,2
6,2,79.5,40.24264061450958,2202,1643,2
6,3,90.0,47.65685415267944,2962,1595,2
6,4,43.5,27.41421353816986,2725,1569,2
6,5,16.0,16.0,2689,1560,2
6,6,177.5,56.3847758769989,640,1529,0
6,7,1017.0,138.42640590667725,2221,1531,4
6,8,79.5,38.24264061450958,2564,1421,2
6,9,34.0,24.82842707633972,2568,1408,2
6,10,2483.0,301.6812392473221,1196,1409,4
6,11,145.5,59.899494767189026,1638,1386,2
6,12,1960.0,336.71067678928375,1605,1386,4
6,13,380.5,106.3847759962082,1652,1356,2
6,14,24.0,20.0,2938,1341,2
6,15,38.5,24.242640614509583,2580,1338,2
6,16,32.0,24.0,2543,1323,2
6,17,358.0,81.4558436870575,2677,1300,2
6,18,559.5,97.35533809661864,2625,1302,2
6,19,337.0,95.5979789495468,343,1281,0
6,20,24.0,20.0,2404,1209,2
6,21,297.0,72.48528122901917,105,1141,0
6,22,20.0,18.0,716,1130,0
6,23,77.0,44.82842707633972,253,1119,0
6,24,1099.0,147.25483298301697,2728,1125,4
6,25,92.5,44.24264061450958,1320,1105,0
6,26,234.5,70.04163014888763,47,1103,0
6,27,24.5,19.41421353816986,189,1069,0
6,28,280.0,90.62741661071776,207,1083,0
6,29,32.0,22.82842707633972,185,1057,0
6,30,94.5,40.24264061450958,2421,1033,2
6,31,514.0,103.4558435678482,1036,1035,1
6,32,213.5,62.38477599620819,102,1022,0
6,33,144.5,59.071067690849304,305,1012,0
6,34,61.5,34.24264061450958,3,1005,0
6,35,30.0,22.0,308,990,0
6,36,166.5,51.899494767189026,1114,985,0
6,37,1589.5,186.32590079307556,887,982,4
6,38,389.5,102.04163002967834,732,917,1
6,39,16.0,16.0,2575,879,3
6,40,34.5,23.41421353816986,1229,877,0
6,41,82.0,35.31370830535889,952,858,0
6,42,715.5,109.35533833503725,854,830,1
6,43,69.0,34.485281229019165,2828,785,3
6,44,99.0,42.485281229019165,2764,770,3
6,45,89.0,51.31370830535889,20,698,0
6,46,24.0,20.0,868,673,0
6,47,691.5,110.87005722522736,1092,678,1
6,48,151.5,48.72792184352875,2270,661,3
6,49,335.0,86.62741661071777,1173,658,1
6,50,70.0,32.82842707633972,884,643,0
6,51,55.5,30.242640614509583,2546,623,3
6,52,412.5,93.55634891986848,2510,617,1
6,53,576.5,139.49747371673584,390,600,1
6,54,16.0,16.0,2356,565,3
6,55,71.0,32.82842707633972,1850,535,3
6,56,24.0,20.0,1070,439,3
6,57,877.5,124.04163014888763,2507,433,1
6,58,557.0,101.79898953437804,861,422,1
6,59,151.5,51.899494767189026,2496,404,3
6,60,766.5,129.8406196832657,2066,405,1
6,61,38.5,25.41421353816986,2485,363,3
6,62,90.0,44.485281229019165,2485,306,3
6,63,198.5,58.38477599620819,335,294,0
6,64,66.5,33.899494767189026,2473,289,3
6,65,91.0,45.31370830535889,2465,275,3
6,66,90.5,41.071067690849304,1361,247,3
6,67,68.5,33.071067690849304,18,243,0
6,68,998.0,172.9116871356964,1160,195,1
6,69,24.5,19.41421353816986,1721,125,3
6,70,16.0,16.0,1719,116,3
6,71,152.5,53.899494767189026,2494,91,3
6,72,419.5,90.04163002967834,264,83,1
6,73,55.0,29.656854152679443,2711,70,3
6,74,535.0,140.62741661071777,2598,32,1
6,75,25.0,20.0,2588,8,3
