image_filename,contour_index,area,perimeter,centroid_x,centroid_y,cluster
5,0,175.0,53.65685415267944,368,1692,0
5,1,1122.5,147.2132030725479,1371,1685,4
5,2,68.5,34.24264061450958,2442,1656,2
5,3,68.0,32.485281109809875,2518,1633,2
5,4,28.0,22.0,2600,1600,2
5,5,34.5,23.41421353816986,2238,1600,2
5,6,52.0,32.82842707633972,1979,1602,2
5,7,233.0,85.3137081861496,2588,1578,2
5,8,127.0,52.1421355009079,864,1573,0
5,9,105.0,42.82842707633972,578,1545,0
5,10,647.0,115.11269772052763,1943,1552,4
5,11,40.5,25.41421353816986,1141,1534,0
5,12,108.0,43.65685415267944,1787,1531,2
5,13,100.0,38.485281229019165,594,1520,0
5,14,24.5,19.41421353816986,51,1514,0
5,15,1173.5,144.3259004354477,2125,1530,4
5,16,24.0,20.0,881,1511,0
5,17,194.5,66.04163002967834,239,1504,0
5,18,250.5,73.0710676908493,2823,1464,2
5,19,358.5,84.38477611541748,1304,1455,0
5,20,1357.5,174.32590055465698,1722,1458,4
5,21,66.0,31.656854152679443,482,1432,0
5,22,59.5,35.071067690849304,2470,1414,2
5,23,20.0,18.0,683,1376,0
5,24,28.5,21.41421353816986,1855,1370,2
5,25,24.0,20.0,1863,1365,2
5,26,133.0,48.485281229019165,787,1303,0
5,27,20.0,18.0,1337,1288,0
5,28,24.0,20.0,786,1283,0
5,29,340.5,84.87005722522736,71,1277,0
5,30,16.0,16.0,659,1257,0
5,31,25.0,20.0,785,1208,0
5,32,114.0,44.485281229019165,1060,1211,0
5,33,367.5,110.3847759962082,110,1202,1
5,34,24.0,20.0,1823,1179,2
5,35,20.0,18.0,713,1179,0
5,36,60.5,34.24264061450958,554,1174,0
5,37,36.0,24.0,1847,1168,2
5,38,69.5,36.24264061450958,2838,1158,2
5,39,37.0,23.656854152679443,1862,1153,2
5,40,5470.5,320.7523066997528,1385,1172,5
5,41,340.5,95.35533845424652,171,1097,1
5,42,105.5,49.071067690849304,2741,1085,2
5,43,20.0,18.0,2715,1077,2
5,44,546.0,104.76955187320708,2878,1082,4
5,45,24.0,20.0,2689,1070,2
5,46,53.5,30.242640614509583,999,1071,0
5,47,20.0,18.0,228,1061,0
5,48,40.5,25.41421353816986,2836,1057,2
5,49,291.5,83.21320295333862,2852,1062,2
5,50,98.0,40.82842707633972,1012,1054,0
5,51,572.5,159.69848430156708,2723,1058,4
5,52,39.5,25.41421353816986,749,1044,0
5,53,58.0,29.656854152679443,2797,1039,2
5,54,39.0,24.82842707633972,1544,1029,0
5,55,113.0,47.65685415267944,2308,1034,2
5,56,34.0,22.82842707633972,1556,1017,0
5,57,78.5,37.41421353816986,750,1009,0
5,58,20.0,18.0,2313,1006,2
5,59,496.5,115.21320307254793,2851,990,4
5,60,155.0,54.485281229019165,2785,948,2
5,61,44.5,27.41421353816986,261,922,0
5,62,16.0,16.0,2763,896,2
5,63,20.0,18.0,2460,894,2
5,64,39.0,24.82842707633972,1353,854,0
5,65,88.0,43.65685415267944,2457,858,2
5,66,51.5,31.41421353816986,1366,851,0
5,67,45.0,26.82842707633972,1497,838,0
5,68,437.0,109.4558436870575,534,843,1
5,69,24.0,20.0,2386,820,3
5,70,16.0,16.0,1679,792,3
5,71,34.0,22.82842707633972,1979,769,3
5,72,259.5,71.0710676908493,1106,778,1
5,73,61.0,32.82842707633972,1971,755,3
5,74,90.5,38.24264061450958,724,740,0
5,75,48.0,28.82842707633972,2572,731,3
5,76,20.0,18.0,1971,725,3
5,77,257.5,95.55634891986848,1914,723,1
5,78,24.5,19.41421353816986,700,720,0
5,79,76.0,39.65685415267944,1874,716,3
5,80,51.5,30.242640614509583,284,705,0
5,81,20.0,18.0,836,685,0
5,82,681.0,112.62741661071776,1915,677,1
5,83,72.5,37.41421353816986,777,650,0
5,84,105.0,56.485281229019165,817,646,0
5,85,45.0,28.0,800,644,0
5,86,123.5,49.071067690849304,841,638,0
5,87,69.0,42.82842707633972,2131,635,3
5,88,28.0,22.0,2567,624,3
5,89,593.5,126.04163014888763,2421,637,4
5,90,62.5,33.41421353816986,849,614,0
5,91,64.5,37.41421353816986,2070,609,3
5,92,220.5,72.38477599620819,830,611,1
5,93,93.5,40.24264061450958,1199,606,0
5,94,58.0,31.656854152679443,1201,587,0
5,95,24.5,19.41421353816986,2734,477,3
5,96,25.0,20.0,670,476,0
5,97,20.0,18.0,1256,472,3
5,98,159.0,56.14213538169861,670,462,1
5,99,228.5,73.21320307254791,1202,452,1
5,100,602.5,116.52691125869752,719,414,1
5,101,185.5,58.38477575778961,946,356,1
5,102,138.5,58.72792184352875,842,337,1
5,103,33.0,22.82842707633972,893,317,0
5,104,152.5,54.72792184352875,1173,296,1
5,105,363.0,104.62741649150848,824,298,1
5,106,16.0,16.0,887,285,0
5,107,764.0,143.4558435678482,874,298,1
5,108,28.0,20.82842707633972,848,282,0
5,109,386.5,102.87005698680878,802,269,1
5,110,202.5,68.72792184352875,779,243,1
5,111,108.5,49.899494767189026,755,242,1
5,112,44.0,25.65685403347015,2890,187,3
5,113,252.0,72.14213538169861,2366,188,3
5,114,20.0,18.0,2579,123,3
5,115,97.0,54.485281229019165,2643,98,3
5,116,16.0,16.0,1964,91,3
5,117,24.5,19.41421353816986,2907,71,3
5,118,43.5,27.41421353816986,1960,70,3
5,119,53.0,29.65685403347015,2919,60,3
5,120,496.0,129.11269772052765,1932,73,1
5,121,61.5,31.41421353816986,1957,55,3
5,122,1302.0,175.5979789495468,1630,67,1
5,123,20.0,18.0,1928,49,3
