image,area,perimeter,centroid_x,centroid_y,cluster
4,550.0,110.62741649150848,370,114,2
4,875.0,196.08326029777527,309,85,2
2,542.0,111.4558435678482,270,159,2
2,718.0,163.11269783973694,380,126,2
2,1756.5,239.15432798862457,344,89,2
3,1028.5,164.87005722522736,19,271,0
3,571.5,124.04163014888763,104,233,0
3,975.5,195.35533845424652,341,242,2
3,739.0,133.4558436870575,402,219,2
3,686.0,179.94112491607666,158,224,0
3,661.5,150.5269113779068,192,144,2
3,530.5,104.3847759962082,253,135,2
3,778.5,134.87005710601807,448,110,2
3,11857.0,1392.4995616674423,294,131,1
1,2005.0,418.16652059555054,325,144,2
