image_filename,contour_index,area,perimeter,centroid_x,centroid_y
2,155,1104.5,219.8406196832657,2835,305
2,156,134.5,55.899494767189026,1375,279
2,157,689.0,211.94112491607666,2990,289
2,158,80.0,36.82842707633972,2871,271
2,159,552.0,111.94112491607666,2572,276
2,160,117.5,48.72792172431946,2971,262
2,161,84.0,42.82842707633972,2498,259
2,162,82.5,39.071067690849304,2520,259
2,163,170.0,72.14213526248932,2156,257
2,164,2867.5,577.5218584537506,2443,273
2,165,54.0,30.82842707633972,2844,244
2,166,237.5,65.0710676908493,2236,250
2,167,160.5,63.899494767189026,205,246
2,168,112.0,46.485281229019165,1750,242
2,169,138.5,65.0710676908493,431,247
2,170,120.0,50.485281229019165,2333,238
2,171,238.5,90.38477599620819,183,239
2,172,298.0,102.97056245803833,2543,233
2,173,63.0,32.82842707633972,2319,223
2,174,63.5,35.071067690849304,2380,220
2,175,70.0,38.82842707633972,2524,220
2,176,213.5,64.24264061450958,1558,220
2,177,474.0,117.94112479686737,2263,221
2,178,219.0,84.14213538169861,2230,218
2,179,114.5,57.071067690849304,430,215
2,180,50.5,29.41421353816986,218,207
2,181,100.0,41.65685415267944,163,206
2,182,174.5,57.899494767189026,2473,202
2,183,271.5,74.72792184352875,913,200
2,184,139.5,57.899494767189026,504,191
2,185,145.0,56.14213538169861,2510,186
2,186,139.5,59.899494767189026,693,184
2,187,1586.5,303.4385983943939,2937,212
2,188,676.0,138.28427076339722,1303,183
2,189,88.0,38.0,559,173
2,190,170.0,54.485281229019165,251,174
2,191,64.5,34.24264061450958,2553,167
2,192,216.0,63.31370830535889,1063,171
2,193,116.0,50.14213538169861,2579,166
2,194,188.0,58.14213538169861,65,169
2,195,116.5,49.071067690849304,967,164
2,196,247.5,67.0710676908493,1336,166
2,197,224.0,79.3137081861496,309,164
2,198,67.0,32.82842707633972,280,161
2,199,94.0,47.65685415267944,924,159
2,200,1865.0,367.13708209991455,121,201
2,201,674.5,212.32590091228485,2873,166
2,202,1842.5,414.7523070573807,1174,184
2,203,109.5,46.24264061450958,1325,146
2,204,60.5,31.41421353816986,920,144
2,205,58.5,30.242640614509583,520,137
2,206,50.5,32.24264061450958,2275,136
2,207,122.5,51.55634891986847,995,134
2,208,196.0,73.31370830535889,851,140
2,209,134.5,54.24264061450958,1403,130
2,210,689.0,127.59797894954681,2134,139
2,211,76.5,33.899494647979736,769,129
2,212,96.5,46.24264061450958,1325,129
2,213,81.5,35.071067690849304,1276,126
2,214,156.5,84.72792184352875,1158,129
2,215,68.5,34.24264061450958,141,122
2,216,148.0,54.14213526248932,2826,119
2,217,188.5,63.899494767189026,1385,117
2,218,86.0,38.82842707633972,777,110
2,219,368.5,100.87005710601807,748,114
2,220,2550.0,445.2792181968689,232,139
2,221,72.0,44.0,706,106
2,222,323.5,92.38477599620819,202,110
2,223,181.5,53.55634880065918,994,101
2,224,786.5,130.18376541137695,2596,109
2,225,105.5,48.24264061450958,2871,93
2,226,2586.0,364.50966596603394,1369,145
2,227,65.5,36.24264061450958,1328,87
2,228,1304.5,250.66904664039612,797,113
2,229,155.5,58.72792184352875,2849,86
2,230,60.5,32.24264061450958,709,72
2,231,165.0,74.62741661071777,293,77
2,232,156.0,53.31370830535889,1404,76
2,233,78.5,37.41421353816986,260,72
2,234,515.0,122.28427064418793,119,64
2,235,186.5,66.38477575778961,1321,63
2,236,70.5,33.41421353816986,1788,45
2,237,199.5,62.72792184352875,1184,49
2,238,68.5,39.071067690849304,2008,38
2,239,108.0,47.65685415267944,1291,39
2,240,161.5,62.72792184352875,1540,43
2,241,952.0,134.28427064418793,754,42
2,242,97.5,45.071067690849304,63,29
2,243,380.0,92.62741661071777,1983,32
2,244,96.0,42.485281229019165,255,30
2,245,153.5,57.899494767189026,580,31
2,246,57.0,29.656854152679443,475,24
2,247,70.0,36.82842707633972,1391,19
2,248,122.0,57.31370830535889,1289,19
2,249,103.5,43.071067690849304,1024,18
2,250,72.5,33.071067690849304,555,13
2,251,457.0,87.4558435678482,2185,18
2,252,76.5,47.071067690849304,2777,5
2,253,640.5,181.69848430156708,2350,14
2,254,74.0,43.65685415267944,1910,4
2,255,301.5,77.55634891986847,969,6
2,256,78.0,34.82842707633972,650,4
3,0,93.5,46.24264061450958,2941,1698
3,1,74.5,35.89949452877045,594,1696
3,2,400.5,94.87005698680878,2732,1688
3,3,858.5,131.6984841823578,2578,1684
3,4,51.0,28.82842707633972,615,1661
3,5,91.0,44.14213526248932,635,1651
3,6,387.0,86.62741661071777,2402,1649
3,7,103.0,44.14213514328003,662,1624
3,8,474.0,108.28427076339722,738,1572
3,9,2149.5,292.46803629398346,1052,1576
3,10,104.0,42.485281229019165,2615,1523
3,11,1828.5,345.52185928821564,755,1530
3,12,169.0,60.485281229019165,728,1489
3,13,63.0,33.65685415267944,2997,1484
3,14,63.5,32.24264061450958,600,1469
3,15,323.0,101.4558436870575,873,1467
3,16,561.0,150.9116872549057,2918,1446
3,17,178.5,67.55634891986847,2876,1439
3,18,73.5,35.41421353816986,2961,1432
3,19,632.5,127.35533845424652,2571,1446
3,20,370.5,110.04163014888763,2592,1417
3,21,58.5,32.24264061450958,2600,1384
3,22,912.5,155.35533833503723,1020,1389
3,23,305.0,99.11269783973694,1056,1363
3,24,68.5,41.071067690849304,2928,1344
3,25,75.5,35.071067690849304,1090,1338
3,26,126.0,48.485281229019165,2910,1336
3,27,218.5,74.04163038730621,1133,1306
3,28,179.5,57.899494647979736,1161,1301
3,29,357.5,95.21320307254791,1223,1258
3,30,137.0,60.1421355009079,1263,1219
3,31,68.5,34.24264061450958,186,1185
3,32,54.0,30.0,1464,1074
3,33,299.0,83.79898941516876,1515,1061
3,34,354.0,107.45584344863892,1498,1046
3,35,256.5,72.87005698680878,2832,1002
3,36,330.0,112.28427064418793,1543,1008
3,37,162.0,52.14213526248932,1582,984
3,38,165.5,66.72792184352875,534,932
3,39,585.5,187.154327750206,1620,946
3,40,51.0,28.82842707633972,1652,916
3,41,157.5,53.55634868144989,1169,902
3,42,2696.0,254.50966596603394,642,819
3,43,95.0,47.65685415267944,1557,770
3,44,71.0,33.65685415267944,1225,761
3,45,265.0,74.97056221961975,1135,765
3,46,236.0,74.97056233882904,1245,760
3,47,52.0,27.656854152679443,1113,753
3,48,318.0,99.4558436870575,1187,754
3,49,183.5,62.72792184352875,1085,748
3,50,360.5,95.69848418235779,1174,700
3,51,243.5,75.55634891986847,1118,688
3,52,432.0,139.5979789495468,1595,697
3,53,59.5,32.24264061450958,1350,679
3,54,763.0,252.76955199241638,1432,672
3,55,89.0,46.82842707633972,1537,660
3,56,630.0,191.11269772052765,1608,657
3,57,99.0,43.65685415267944,1661,647
3,58,1300.0,271.39696872234344,1167,649
3,59,1104.5,150.18376529216766,2224,647
3,60,71.5,39.071067690849304,1729,617
3,61,254.0,97.79898953437805,1780,597
3,62,143.0,53.65685415267944,1976,579
3,63,372.0,117.79898953437805,2112,576
3,64,134.5,50.72792184352875,2154,576
3,65,1303.0,291.88224947452545,2203,574
3,66,613.5,138.18376529216766,2014,543
3,67,58.0,34.82842707633972,2406,525
3,68,246.5,78.38477611541748,2326,500
3,69,100.5,43.899494767189026,2765,485
3,70,191.5,59.55634868144989,2873,460
3,71,748.0,111.11269760131836,1312,423
3,72,289.0,82.97056245803833,598,352
3,73,222.5,89.55634891986847,1119,301
3,74,634.5,222.87005722522736,2307,271
3,75,872.0,242.76955199241638,2186,266
3,76,757.5,244.32590079307556,2413,265
3,77,86.0,48.82842707633972,2505,255
3,78,397.0,114.97056245803833,1057,270
3,79,66.5,33.071067690849304,1222,235
3,80,1016.5,183.49747347831726,33,243
